Course,Semester,% Released
ANT 204,Fall 2023,
ANT 206,Fall 2023,81
ANT 207,Fall 2023,
ANT 215,Fall 2023,89
ART 150,Fall 2023,94
ART 151,Fall 2023,
ART 153,Fall 2023,94
ART 155,Fall 2023,
BIO 120,Fall 2023,90
BMS 250,Fall 2023,98
BMS 251,Fall 2023,
CHM 109,Fall 2023,91
CHM 115,Fall 2023,92
CHM 116,Fall 2023,
CHM 230,Fall 2023,
HRT 105,Fall 2023,
PLS 105,Fall 2023,
MOV 101,Fall 2023,
MTH 108,Fall 2023,
MTH 109,Fall 2023,85
MTH 110,Fall 2023,100
MTH 122,Fall 2023,100
MTH 124,Fall 2023,90
MTH 201,Fall 2023,80
MTH 202,Fall 2023,100
PHY 230,Fall 2023,92
PLS 102,Fall 2023,80
PLS 103,Fall 2023,90
PSY 101,Fall 2023,91
SPA 101,Fall 2023,89
SPA 102,Fall 2023,81
SPA 201,Fall 2023,89
STA 215,Fall 2023,89
US 102,Fall 2023,
WRT 120,Fall 2023,89
WRT 130,Fall 2023,78
WRT 150,Fall 2023,90
ANT 204,Winter 2024,81
ANT 206,Winter 2024,81
ANT 215,Winter 2024,89
ART 150,Winter 2024,94
ART 151,Winter 2024,
ART 153,Winter 2024,96
ART 155,Winter 2024,95
BIO 120,Winter 2024,80
BMS 250,Winter 2024,98
BMS 251,Winter 2024,98
CHM 109,Winter 2024,91
CHM 115,Winter 2024,92
CHM 116,Winter 2024,91
CHM 230,Winter 2024,97
HRT 105,Winter 2024,80
PLS 105,Winter 2024,80
MOV 101,Winter 2024,90
MTH 108,Winter 2024,83
MTH 109,Winter 2024,
MTH 110,Winter 2024,90
MTH 122,Winter 2024,90
MTH 124,Winter 2024,80
MTH 201,Winter 2024,90
MTH 202,Winter 2024,80
PHY 230,Winter 2024,91
PLS 102,Winter 2024,79
PLS 103,Winter 2024,89
PSY 101,Winter 2024,
SPA 101,Winter 2024,81
SPA 102,Winter 2024,89
SPA 201,Winter 2024,84
STA 215,Winter 2024,100
US 102,Winter 2024,
WRT 130,Winter 2024,89
WRT 150,Winter 2024,90
